2193S,2:01,23:59
2893S,2:01,07:15
765W,2:01,02:57
770E,2:01,04:03
2197S,1:01,02:40
2195S,3:07,03:15
771W,8:30,18:30
812E,8:30,08:55
C752,8:30,10:05
946E,8:30,18:03
2897S,8:30,18:30
949W,8:30,12:37
2886N,8:30,08:48
785W,8:30,08:46
773W,8:50,10:45
944E,8:50,10:01
951W,9:54,10:11
C762,9:59,10:06
C736,10:13,10:20
943W,10:15,10:49
787W,10:42,13:45
934E,10:48,11:02
C802,10:56,11:43
791W,11:12,11:41
C786,11:12,11:43
C722,11:17,11:35
C744,11:22,11:49
C766,11:22,11:43
C790,11:29,11:43
C764,11:34,12:01
742E,12:41,15:18
C822,11:44,12:08
797W,11:53,13:00
795W,11:55,12:32
951W,11:58,12:12
C828,12:00,12:09
C748,12:02,12:45
C736,12:04,12:46
2890N,12:06,12:22
780E,12:08,12:25
779W,12:10,12:21
C762,12:17,13:24
C724,12:18,12:28
C728,12:18,12:43
773W,12:19,13:36
C798,12:20,13:05
785W,12:27,12:35
934E,12:37,12:43
2895S,12:38,12:44
C722,12:41,13:20
C768,12:41,12:59
738E,12:44,12:51
C756,12:51,13:28
C824,12:53,13:03
944E,13:06,15:43
C822,13:09,14:50
2197S,13:12,13:45
C828,13:12,13:21
793W,13:13,13:19
2890N,13:23,13:42
C794,13:34,15:18
775W,13:45,13:52
C748,13:46,13:54
949W,14:01,14:53
797W,14:01,14:15
C744,14:05,14:34
C818,14:07,14:29
812E,14:12,14:34
947W,14:14,14:40
943W,14:14,14:34
C764,14:16,14:26
2888N,14:18,14:47
C726,14:21,15:32
C828,14:22,14:36
791W,14:22,14:55
C762,14:24,14:29
795W,14:25,14:40
956E,14:30,14:50
C810,14:31,15:09
773W,14:37,18:26
789W,14:43,15:40
932E,14:43,15:12
C736,14:43,14:56
C814,14:46,15:34
C824,14:47,15:09
C786,14:54,16:04
C798,15:09,15:28
2890N,15:21,15:36
C790,15:25,17:01
954E,16:27,16:37
C744,15:35,16:06
785W,15:36,15:52
936E,15:37,15:43
734E,15:38,15:58
787W,15:43,16:55
C802,15:45,16:09
952E,16:46,16:59
956E,15:52,16:20
812E,15:53,16:03
949W,15:54,16:08
934E,16:12,16:53
2888N,16:13,17:07
C764,16:14,16:22
C724,16:19,16:31
793W,16:19,16:27
C748,16:19,16:42
943W,16:23,16:40
2890N,16:38,17:37
C722,16:39,17:08
C830,16:39,17:40
C768,16:40,18:14
C818,16:44,17:16
936E,16:44,16:52
C786,17:05,17:48
C760,17:06,17:18
C802,17:09,17:40
C756,17:17,17:25
C736,17:17,17:35
C822,17:21,17:33
956E,17:22,17:40
C764,17:25,18:30
793W,17:28,17:37
C724,17:31,17:37
C758,17:35,18:02
C766,17:40,18:15
770E,18:40,23:59
C752,17:41,18:30
779W,17:44,17:58
943W,17:45,17:52
951W,17:46,18:15
947W,17:46,17:54
2895S,17:51,18:30
C814,17:53,18:30
936E,17:54,18:30
787W,17:55,18:30
C828,18:07,18:18
791W,18:14,18:21
734E,18:17,18:30
C748,18:22,18:30
2893S,22:24,23:59
2197S,23:39,23:59
